basename,animal_name
AM11_4Tastes_191030_114043_copy,AM11
AM11_4Tastes_191031_083633,AM11
AM11_4Tastes_191101_084921,AM11
AM12_4Tastes_191105_083246,AM12
AM12_4Tastes_191106_085215,AM12
AM12_4Tastes_191107_084707,AM12
AM17_4Tastes_191125_084206,AM17
AM17_4Tastes_191126_084934,AM17
AM25_4Tastes_200806_094914,AM25
AM25_4Tastes_200807_092703,AM25
AM25_4Tastes_200808_095124,AM25
AM26_4Tastes_200826_101430,AM26
AM26_4Tastes_200827_094829,AM26
AM26_4Tastes_200829_100535,AM26
AM35_4Tastes_201228_124547,AM35
AM35_4Tastes_201229_150307,AM35
AM35_4Tastes_201230_115322,AM35
AM35_4Tastes_201231_105700,AM35
AM39_4Tastes_210203_123522,AM39
AM39_4Tastes_210204_112512,AM39
AM39_4Tastes_210205_105934,AM39
AM39_4Tastes_210206_101103,AM39
AM39_4Tastes_210208_094042,AM39
